pharmName	pharmName2	Source_and_Use	pcode	CASRN
"1,7-Dimethylxanthine"	Paraxanthine	"Stimulant, metabolite of caffeine"	67446	611-59-6
10-Hydroxy-amitriptyline	NA	Degradate of amitriptyline	67995	1159-82-6
Abacavir	Ziagen	Antiviral; reverse transcriptase inhibitor	68022	136470-78-5
Acetaminophen	"Paracetamol, Calpol, Panadol"	"Over-the-counter analgesic, antipyretic"	67436	103-90-2
Acyclovir	"Aciver, Cyclovir, Herpex, Zovir"	Antiviral for treatment of herpes simplex	67484	59277-89-3
Albuterol 	"Asmol, Proventil, Salbutamol, Ventolin"	?2-adrenergic receptor agonist for asthma treatment	67437	18559-94-9
Alprazolam	"Alprx, Anxyl, Panix, Xanax"	Benzodiazepine used to treat anxiety disorders	68250	28981-97-7
Amitriptyline	"Elavil, Tryptizol, Laroxyl, Lentizol, Sarotex"	Tricyclic antidepressant	67522	50-48-6
Amphetamine	"Adderall, Benzedrine, Dexedrine, Vyvanse"	Psychostimulant	67461	300-62-9
Antipyrine	"Analgesine, auralgan, azophene, phenazone, phenazon"	"Prescription analgesic, antipyretic"	67477	60-80-0
Atenolol	"Atenol, Esatenolol"	Beta blocker used for treatment of hypertension	67502	29122-68-7
Atrazine	NA	Herbicide; used in this method to compare performance between compounds and between methods	65065	1912-24-9
Benztropine	"Benzatropine, Cogentinol"	Anticholinergic used in treatment of Parkinson's disease	67997	86-13-5
Betamethasone	"Corson, Dexamethasone"	Synthetic glucocorticoid steroid used to treat inflammatory and autoimmune conditions	67485	378-44-9
Bupropion	"Wellbutrin, Zyban, Voxra, Budeprion"	Antidepressant and smoking cessation aid	67439	34911-55-2
Caffeine	"1-methyltheobromine, Caffedrine, No Doz"	"Psychoactive stimulant in coffee, tea, and other preparations"	67440	58-08-2
Carbamazepine	"Calepsin, Carbelan, Sirtal, Tegretol"	"Anticonvulsant and mood stabilizer used for epilepsy, bipolar disorder, trigeminal neuralgia"	67441	298-46-4
Carisoprodol	"Carisoma, Sanoma, Soma"	Muscle relaxant	67498	78-44-4
Chlorpheniramine	"Chlor-Trimeton, Chloropiril, Haynon, Hayon, Piriton"	Over-the-counter antihistamine for relief of allergy symptoms	67497	132-22-9
Cimetidine	"Acinil, Gastromet, Tagamet"	Histamine H2-receptor antagonist that inhibits production of stomach acid	67442	51481-61-9
Citalopram	"Celexa, Nitalapram, Lexapro"	"Selective serotonin reuptake inhibitor (SSRI) used to treat major depression, anxiety disorders "	67505	59729-33-8
Clonidine	"Catapress, Catapressan, Duraclont"	Antihypertensive	67518	4205-90-7
Codeine	"3-methylmorphine, Codicept"	"Opiate used as analgesic, antitussive, and antidiarrheal"	67443	76-57-3
Cotinine	NA	Metabolite of nicotine; tobacco constituent	67444	486-56-6
Dehydronifedipine	NA	Metabolite of the antihypertensive nifedipine	67445	67035-22-7
Desmethyldiltiazem	"N-Monodemethyldiltiazem, N-desmethyldiltiazem"	Degradate of diltiazem	67999	86408-45-9
Desvenlafaxine	"Norvenlafaxine, O-Desmethylvenlafaxine, Pristiq"	"Antidepressant serotonin-norepinephrine reuptake inhibitor, also major active metabolite of venlafaxine"	68251	93413-62-8
Dextromethorphan	DXM	Cough suppressant in over-the-counter cold and cough medications	67468	125-71-3
Diazepam	"Diacepin, Faustan, PAX, Valium"	"Benzodiazepine used to treat anxiety, insomnia, seizures "	67499	439-14-5
Diltiazem	"Cardizem, cis-diltiazem, Dilatem, Tildiem"	"Calcium channel blocker used to treat hypertension, angina, some arrhythmias"	67519	42399-41-7
Diphenhydramine	"Benadryl, Dimedrol, DPH"	Antihistamine	67447	58-73-1
Duloxetine	"Ariclaim, Cymbalta, Yentreve, Xeristar"	Antidepressant; serotonin-norepinephrine reuptake inhibitor	67448	116539-59-4
Erythromycin	"Abomacetin, Erycin, Stiemycin, Theramycin Z"	Macrolide antibiotic	67449	114-07-8
Ezetimibe	"Ezetrol, Zetia"	Cholesterol-reducing medication	67487	163222-33-1
Fadrozole	NA	Aromatase inhibitor used for treatment of breast cancer	68012	102676-47-1
Famotidine	"Gaster, Gastrofam, Pepcid"	Histamine H2-receptor antagonist that inhibits production of stomach acid	68000	76824-35-6
Fenofibrate	"Antara, Lipidil, Lofibra, Tricor"	Fibrate drug used to reduce cholesterol levels	67489	49562-28-9
Fexofenadine	"Allegra, Telfast, Fastofen, Tilfur, Vifas, Telfexo"	Terfenadine degradate; an antihistamine used to treat allergies	67510	83799-24-0
Fluconazole	"Diflucan, Trican, Alfumet"	Triazole antifungal	67478	86386-73-4
Fluoxetine	"Fluoxin, Fluval, Nikomed, Prozac, Symbiax"	"Selective serotonin reuptake inhibitor (SSRI) used to treat major depression, anxiety disorders "	67450	54910-89-3
Fluticasone propionate	"Flonase, Flovent Flixonase (as the propionate), Veramyst (as the furoate)"	Synthetic corticosteroid used to treat asthma and eosinophilic esophagitis	67529	90566-53-3
